0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/service/userservice.js HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/service/blogservice.js HTTP/1.1" 200 6692
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/service/Chatservice.js HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/service/forumservice.js HTTP/1.1" 200 3764
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:02 +0530] "GET /collobrationFE/service/friendservice.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:04 +0530] "GET /collobrationFE/common/header.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:04 +0530] "GET /collobrationFE/common/footer.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:04 +0530] "GET /collobrationFE/common/Home.html HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:28 +0530] "POST /collobrationRS/login HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:37 +0530] "GET /collobrationRS/listfriendbyuserid/ HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:37 +0530] "GET /collobrationFE/htmlpages/adminpages/displayfriends.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:58 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:52:58 +0530] "GET /collobrationFE/htmlpages/showallusers.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:53:12 +0530] "GET /collobrationRS/listfriendbyuserid/ HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:53:15 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:53:26 +0530] "GET /collobrationRS/listfriendbyuserid/ HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [04/Jun/2017:12:53:37 +0530] "GET /collobrationRS/getAllUsers HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [04/Jun/2017:13:36:13 +0530] "GET /collobrationRS/logout HTTP/1.1" 500 5477
0:0:0:0:0:0:0:1 - - [04/Jun/2017:13:36:26 +0530] "POST /collobrationRS/login HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [04/Jun/2017:13:36:26 +0530] "GET /collobrationFE/htmlpages/adminpages/admin.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [04/Jun/2017:13:36:32 +0530] "GET /collobrationRS/listpendingblogs/ HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [04/Jun/2017:13:36:32 +0530] "GET /collobrationFE/htmlpages/adminpages/pendingblogs.html HTTP/1.1" 200 898
